targetAudience;seriesDisplayName;queryStringValue;variationTargetAudience;
Keyword Nissan Pathfinder;4Runner;4Runner&competitor=Nissan_Pathfinder;compare=true;
Keyword Chevrolet Chevrolet_Suburban1500;4Runner;4Runner&competitor=Chevrolet_Chevrolet_Suburban1500;compare=Id_is_invalid;
Keyword Chevrolet Chevrolet_Suburban2500;4Runner;4Runner&competitor=Chevrolet_Chevrolet_Suburban2500;compare=Id_is_invalid;
Keyword Lincoln Navigator L;4Runner;4Runner&competitor=Lincoln_Navigator_L;compare=true;
NE ATC Nissan Armada;4Runner;4runner&competitor=Nissan_Armada;compare=true;
NE ATC Nissan NV;4Runner;4runner&competitor=Nissan_NV;compare=true;
NE KBB Nissan Armada;4Runner;4runner&competitor=Nissan_Armada;compare=true;
NE Cars.com Honda Crosstour;4Runner;4runner&competitor=Honda_Crosstour;compare=false;
NE Cars.com Nissan Armada;4Runner;4runner&competitor=Nissan_Armada;compare=true;
NE Cars.com Nissan Xterra;4Runner;4runner&competitor=Nissan_Xterra;compare=true;
NE Edmunds Honda Crosstour;4Runner;4runner&competitor=Honda_Crosstour;compare=false;
NE Edmunds Nissan Armada;4Runner;4runner&competitor=Nissan_Armada;compare=true;
NE Edmunds Nissan Xterra;4Runner;4runner&competitor=Nissan_Xterra;compare=true;
Keyword Acura ILX;Avalon;Avalon&competitor=Acura_ILX;compare=false;
Keyword Acura NSX;Avalon;Avalon&competitor=Acura_NSX;compare=Id_is_invalid;
Keyword Acura RL;Avalon;Avalon&competitor=Acura_RL;compare=false;
Keyword Acura RLX;Avalon;Avalon&competitor=Acura_RLX;compare=false;
Keyword Acura TL;Avalon;Avalon&competitor=Acura_TL;compare=true;
Keyword Acura TSX;Avalon;Avalon&competitor=Acura_TSX;compare=false;
Keyword Audi A3;Avalon;Avalon&competitor=Audi_A3;compare=false;
Keyword Audi A4;Avalon;Avalon&competitor=Audi_A4;compare=false;
Keyword Audi A5;Avalon;Avalon&competitor=Audi_A5;compare=true;
Keyword Audi A6;Avalon;Avalon&competitor=Audi_A6;compare=false;
Keyword Audi A8;Avalon;Avalon&competitor=Audi_A8;compare=false;
Keyword Audi R8;Avalon;Avalon&competitor=Audi_R8;compare=false;
Keyword Audi S4;Avalon;Avalon&competitor=Audi_S4;compare=false;
Keyword Audi S5;Avalon;Avalon&competitor=Audi_S5;compare=false;
Keyword Audi S6;Avalon;Avalon&competitor=Audi_S6;compare=true;
Keyword Audi TT;Avalon;Avalon&competitor=Audi_TT;compare=Id_is_invalid;
Keyword Audi A7;Avalon;Avalon&competitor=Audi_A7;compare=false;
Keyword Audi S7;Avalon;Avalon&competitor=Audi_S7;compare=true;
Keyword Audi S8;Avalon;Avalon&competitor=Audi_S8;compare=true;
Keyword Bentley MULSANNE;Avalon;Avalon&competitor=Bentley_MULSANNE;compare=Id_is_invalid;
Keyword Bentley AZURE;Avalon;Avalon&competitor=Bentley_AZURE;compare=false;
Keyword BMW BMWI3;Avalon;Avalon&competitor=BMW_BMWI3;compare=false;
Keyword BMW 1_SERIES;Avalon;Avalon&competitor=BMW_1_SERIES;compare=false;
Keyword BMW 128I;Avalon;Avalon&competitor=BMW_128I;compare=false;
Keyword BMW 135I;Avalon;Avalon&competitor=BMW_135I;compare=false;
Keyword BMW 135IS;Avalon;Avalon&competitor=BMW_135IS;compare=false;
Keyword BMW 2_SERIES;Avalon;Avalon&competitor=BMW_2_SERIES;compare=false;
Keyword BMW 3_SERIES;Avalon;Avalon&competitor=BMW_3_SERIES;compare=true;
Keyword BMW 318I;Avalon;Avalon&competitor=BMW_318I;compare=false;
Keyword BMW 318IS;Avalon;Avalon&competitor=BMW_318IS;compare=false;
Keyword BMW 318TI;Avalon;Avalon&competitor=BMW_318TI;compare=false;
Keyword BMW 320I;Avalon;Avalon&competitor=BMW_320I;compare=false;
Keyword BMW 323CI;Avalon;Avalon&competitor=BMW_323CI;compare=false;
Keyword BMW 320IXD;Avalon;Avalon&competitor=BMW_320IXD;compare=false;
Keyword BMW 323I;Avalon;Avalon&competitor=BMW_323I;compare=false;
Keyword BMW 323IC;Avalon;Avalon&competitor=BMW_323IC;compare=false;
Keyword BMW 323IS;Avalon;Avalon&competitor=BMW_323IS;compare=false;
Keyword BMW 325CI;Avalon;Avalon&competitor=BMW_325CI;compare=false;
Keyword BMW 325E;Avalon;Avalon&competitor=BMW_325E;compare=false;
Keyword BMW 325ES;Avalon;Avalon&competitor=BMW_325ES;compare=false;
Keyword BMW 325I;Avalon;Avalon&competitor=BMW_325I;compare=false;
Keyword BMW 325IS;Avalon;Avalon&competitor=BMW_325IS;compare=false;
Keyword BMW 325IX;Avalon;Avalon&competitor=BMW_325IX;compare=false;
Keyword BMW 325XI;Avalon;Avalon&competitor=BMW_325XI;compare=false;
Keyword BMW 328CI;Avalon;Avalon&competitor=BMW_328CI;compare=false;
Keyword BMW 328I;Avalon;Avalon&competitor=BMW_328I;compare=false;
Keyword BMW BMW328IGT;Avalon;Avalon&competitor=BMW_BMW328IGT;compare=false;
Keyword BMW BMW328GTXD;Avalon;Avalon&competitor=BMW_BMW328GTXD;compare=false;
Keyword BMW 328IXD;Avalon;Avalon&competitor=BMW_328IXD;compare=false;
Keyword BMW 328IS;Avalon;Avalon&competitor=BMW_328IS;compare=false;
Keyword BMW 328XI;Avalon;Avalon&competitor=BMW_328XI;compare=false;
Keyword BMW 330CI;Avalon;Avalon&competitor=BMW_330CI;compare=false;
Keyword BMW 330I;Avalon;Avalon&competitor=BMW_330I;compare=false;
Keyword BMW 330XI;Avalon;Avalon&competitor=BMW_330XI;compare=false;
Keyword BMW 335D;Avalon;Avalon&competitor=BMW_335D;compare=false;
Keyword BMW 335I;Avalon;Avalon&competitor=BMW_335I;compare=false;
Keyword BMW BMW335IGT;Avalon;Avalon&competitor=BMW_BMW335IGT;compare=false;
Keyword BMW BMW335GTXD;Avalon;Avalon&competitor=BMW_BMW335GTXD;compare=false;
Keyword BMW 335IXD;Avalon;Avalon&competitor=BMW_335IXD;compare=false;
Keyword BMW 335IS;Avalon;Avalon&competitor=BMW_335IS;compare=false;
Keyword BMW 335XI;Avalon;Avalon&competitor=BMW_335XI;compare=false;
Keyword BMW BMW328D;Avalon;Avalon&competitor=BMW_BMW328D;compare=false;
Keyword BMW BMW328DXD;Avalon;Avalon&competitor=BMW_BMW328DXD;compare=false;
Keyword BMW 4_SERIES;Avalon;Avalon&competitor=BMW_4_SERIES;compare=false;
Keyword BMW BMW428IXD;Avalon;Avalon&competitor=BMW_BMW428IXD;compare=false;
Keyword BMW BMW428I;Avalon;Avalon&competitor=BMW_BMW428I;compare=false;
Keyword BMW BMW435I;Avalon;Avalon&competitor=BMW_BMW435I;compare=false;
Keyword BMW BMW435IXD;Avalon;Avalon&competitor=BMW_BMW435IXD;compare=false;
Keyword BMW 5_SERIES;Avalon;Avalon&competitor=BMW_5_SERIES;compare=false;
Keyword BMW 524TD;Avalon;Avalon&competitor=BMW_524TD;compare=false;
Keyword BMW 525I;Avalon;Avalon&competitor=BMW_525I;compare=false;
Keyword BMW 525XI;Avalon;Avalon&competitor=BMW_525XI;compare=false;
Keyword BMW 528E;Avalon;Avalon&competitor=BMW_528E;compare=false;
Keyword BMW 528I;Avalon;Avalon&competitor=BMW_528I;compare=false;
Keyword BMW 528IXD;Avalon;Avalon&competitor=BMW_528IXD;compare=false;
Keyword BMW 528XI;Avalon;Avalon&competitor=BMW_528XI;compare=false;
Keyword BMW 530I;Avalon;Avalon&competitor=BMW_530I;compare=false;
Keyword BMW 530XI;Avalon;Avalon&competitor=BMW_530XI;compare=false;
Keyword BMW 533I;Avalon;Avalon&competitor=BMW_533I;compare=false;
Keyword BMW 535D;Avalon;Avalon&competitor=BMW_535D;compare=false;
Keyword BMW 535DXD;Avalon;Avalon&competitor=BMW_535DXD;compare=false;
Keyword BMW 535I;Avalon;Avalon&competitor=BMW_535I;compare=false;
Keyword BMW 535 IGTXD;Avalon;Avalon&competitor=BMW_535_IGTXD;compare=false;
Keyword BMW 535IXD;Avalon;Avalon&competitor=BMW_535IXD;compare=false;
Keyword BMW 535IGT;Avalon;Avalon&competitor=BMW_535IGT;compare=false;
Keyword BMW 535XI;Avalon;Avalon&competitor=BMW_535XI;compare=false;
Keyword BMW 540I;Avalon;Avalon&competitor=BMW_540I;compare=false;
Keyword BMW 545I;Avalon;Avalon&competitor=BMW_545I;compare=false;
Keyword BMW 550I;Avalon;Avalon&competitor=BMW_550I;compare=false;
Keyword BMW 550IGTXD;Avalon;Avalon&competitor=BMW_550IGTXD;compare=false;
Keyword BMW 550IXD;Avalon;Avalon&competitor=BMW_550IXD;compare=false;
Keyword BMW 550IGT;Avalon;Avalon&competitor=BMW_550IGT;compare=false;
Keyword BMW M3;Avalon;Avalon&competitor=BMW_M3;compare=Id_is_invalid;
Keyword BMW M5;Avalon;Avalon&competitor=BMW_M5;compare=true;
Keyword BMW M6;Avalon;Avalon&competitor=BMW_M6;compare=true;
Keyword BMW Z4;Avalon;Avalon&competitor=BMW_Z4;compare=false;
Keyword BMW ALPINAB7;Avalon;Avalon&competitor=BMW_ALPINAB7;compare=false;
